,User,Activity,DateTime,Latitude,Longitude
76,PROTARU,BreakActivity,2020-09-01 08:52:03.650,29.37063,-98.49502
77,PROTARU,BreakActivity,2020-09-01 08:52:20.647,29.37063,-98.49503
78,PROTARU,BreakActivity,2020-09-01 08:52:32.643,29.37062,-98.49504
79,PROTARU,BreakActivity,2020-09-01 08:52:44.627,29.37062,-98.49505
80,PROTARU,BreakActivity,2020-09-01 08:53:01.647,29.37062,-98.49505
81,PROTARU,BreakActivity,2020-09-01 08:53:13.637,29.37062,-98.49505
82,PROTARU,BreakActivity,2020-09-01 08:53:25.633,29.37062,-98.49505
83,PROTARU,BreakActivity,2020-09-01 08:53:42.620,29.37062,-98.49506
84,PROTARU,BreakActivity,2020-09-01 08:53:58.647,29.37062,-98.49506
85,PROTARU,BreakActivity,2020-09-01 08:54:15.637,29.37062,-98.49506
86,PROTARU,BreakActivity,2020-09-01 08:54:27.647,29.37062,-98.49506
87,PROTARU,BreakActivity,2020-09-01 08:54:39.630,29.37062,-98.49506
88,PROTARU,BreakActivity,2020-09-01 08:54:51.627,29.37062,-98.49506
89,PROTARU,BreakActivity,2020-09-01 08:55:03.640,29.37062,-98.49506
90,PROTARU,BreakActivity,2020-09-01 08:55:15.633,29.37062,-98.49506
91,PROTARU,BreakActivity,2020-09-01 08:55:27.637,29.37062,-98.49506
92,PROTARU,BreakActivity,2020-09-01 08:55:43.640,29.37062,-98.49506
93,PROTARU,BreakActivity,2020-09-01 08:55:55.650,29.37062,-98.49506
94,PROTARU,BreakActivity,2020-09-01 08:56:07.640,29.37062,-98.49506
95,PROTARU,BreakActivity,2020-09-01 08:56:19.643,29.37062,-98.49506
96,PROTARU,BreakActivity,2020-09-01 08:56:31.643,29.37062,-98.49506
97,PROTARU,BreakActivity,2020-09-01 08:56:43.623,29.37062,-98.49506
98,PROTARU,BreakActivity,2020-09-01 08:57:00.637,29.37062,-98.49506
99,PROTARU,BreakActivity,2020-09-01 08:57:17.627,29.37064,-98.49506
100,PROTARU,BreakActivity,2020-09-01 08:57:34.657,29.37065,-98.49506
101,PROTARU,BreakActivity,2020-09-01 08:57:51.633,29.37065,-98.49506
102,PROTARU,BreakActivity,2020-09-01 08:58:03.650,29.37065,-98.49506
103,PROTARU,BreakActivity,2020-09-01 08:58:20.647,29.37065,-98.49506
104,PROTARU,BreakActivity,2020-09-01 08:58:36.653,29.37065,-98.49507
105,PROTARU,BreakActivity,2020-09-01 08:58:48.647,29.37065,-98.49507
106,PROTARU,BreakActivity,2020-09-01 08:59:00.663,29.37065,-98.49507
107,PROTARU,BreakActivity,2020-09-01 08:59:12.637,29.37065,-98.49507
108,PROTARU,BreakActivity,2020-09-01 08:59:24.613,29.37065,-98.49507
109,PROTARU,BreakActivity,2020-09-01 08:59:35.630,29.37065,-98.49507
110,PROTARU,BreakActivity,2020-09-01 08:59:46.643,29.37065,-98.49507
111,PROTARU,BreakActivity,2020-09-01 09:00:03.630,29.37065,-98.49507
112,PROTARU,BreakActivity,2020-09-01 09:00:20.643,29.37065,-98.49507
113,PROTARU,BreakActivity,2020-09-01 09:00:32.647,29.37065,-98.49507
114,PROTARU,BreakActivity,2020-09-01 09:00:44.630,29.37065,-98.49507
115,PROTARU,BreakActivity,2020-09-01 09:00:56.633,29.37065,-98.49507
116,PROTARU,BreakActivity,2020-09-01 09:01:13.643,29.37065,-98.49507
117,PROTARU,BreakActivity,2020-09-01 09:01:30.640,29.37065,-98.49507
118,PROTARU,BreakActivity,2020-09-01 09:01:42.630,29.37065,-98.49507
119,PROTARU,BreakActivity,2020-09-01 09:01:58.633,29.37065,-98.49507
120,PROTARU,BreakActivity,2020-09-01 09:02:15.640,29.37065,-98.49507
121,PROTARU,BreakActivity,2020-09-01 09:02:27.650,29.37065,-98.49507
122,PROTARU,BreakActivity,2020-09-01 09:02:44.637,29.37065,-98.49507
123,PROTARU,BreakActivity,2020-09-01 09:02:56.653,29.37065,-98.49507
124,PROTARU,BreakActivity,2020-09-01 09:03:08.653,29.37065,-98.49507
125,PROTARU,BreakActivity,2020-09-01 09:03:20.640,29.37065,-98.49507
126,PROTARU,BreakActivity,2020-09-01 09:03:37.637,29.37065,-98.49507
127,PROTARU,BreakActivity,2020-09-01 09:03:54.633,29.37065,-98.49507
128,PROTARU,BreakActivity,2020-09-01 09:04:10.640,29.37065,-98.49507
129,PROTARU,BreakActivity,2020-09-01 09:04:27.647,29.37065,-98.49506
130,PROTARU,BreakActivity,2020-09-01 09:04:39.627,29.37065,-98.49505
131,PROTARU,BreakActivity,2020-09-01 09:04:56.630,29.37066,-98.49506
132,PROTARU,BreakActivity,2020-09-01 09:05:13.633,29.37066,-98.49506
133,PROTARU,BreakActivity,2020-09-01 09:05:29.637,29.37066,-98.49506
134,PROTARU,BreakActivity,2020-09-01 09:05:46.637,29.37066,-98.49506
135,PROTARU,BreakActivity,2020-09-01 09:05:58.623,29.37066,-98.49506
136,PROTARU,BreakActivity,2020-09-01 09:06:10.630,29.37066,-98.49506
137,PROTARU,BreakActivity,2020-09-01 09:06:26.640,29.37066,-98.49506
138,PROTARU,BreakActivity,2020-09-01 09:06:38.630,29.37066,-98.49506
139,PROTARU,BreakActivity,2020-09-01 09:06:55.627,29.37066,-98.49506
140,PROTARU,BreakActivity,2020-09-01 09:07:06.630,29.37066,-98.49506
141,PROTARU,BreakActivity,2020-09-01 09:07:17.633,29.37066,-98.49506
142,PROTARU,AdminHomeActivity,2020-09-01 09:07:34.623,29.37066,-98.49506
143,PROTARU,Task 5 YEAR,2020-09-01 09:07:45.643,29.37066,-98.49505
144,PROTARU,Task 5 YEAR,2020-09-01 09:08:01.650,29.37065,-98.49505
145,PROTARU,Task 5 YEAR,2020-09-01 09:08:18.637,29.37065,-98.49506
146,PROTARU,Task 5 YEAR,2020-09-01 09:08:34.647,29.37065,-98.49506
147,PROTARU,Task 5 YEAR,2020-09-01 09:08:46.637,29.37064,-98.49504
148,PROTARU,Task 5 YEAR,2020-09-01 09:08:58.643,29.37064,-98.49501
149,PROTARU,Task 5 YEAR,2020-09-01 09:09:10.633,29.37064,-98.49502
150,PROTARU,Task 5 YEAR,2020-09-01 09:09:22.633,29.37063,-98.49503
151,PROTARU,Task 5 YEAR,2020-09-01 09:09:38.643,29.37063,-98.49503
152,PROTARU,Task 5 YEAR,2020-09-01 09:09:50.637,29.37063,-98.49503
153,PROTARU,Task 5 YEAR,2020-09-01 09:10:02.707,29.37063,-98.49503
154,PROTARU,Task 5 YEAR,2020-09-01 09:10:14.627,29.37063,-98.49503
155,PROTARU,Task 5 YEAR,2020-09-01 09:10:25.650,29.37063,-98.49503
156,PROTARU,Task 5 YEAR,2020-09-01 09:10:41.647,29.37064,-98.49505
157,PROTARU,Task 5 YEAR,2020-09-01 09:10:53.637,29.37061,-98.49509
158,PROTARU,Task 5 YEAR,2020-09-01 09:11:05.653,29.37065,-98.49526
159,PROTARU,Task 5 YEAR,2020-09-01 09:11:22.637,29.37067,-98.49514
160,PROTARU,Task 5 YEAR,2020-09-01 09:11:38.637,29.37063,-98.49505
161,PROTARU,Task 5 YEAR,2020-09-01 09:11:50.630,29.37062,-98.49505
162,PROTARU,Task 5 YEAR,2020-09-01 09:12:07.637,29.37062,-98.49505
163,PROTARU,Task 5 YEAR,2020-09-01 09:12:19.610,29.37062,-98.49505
164,PROTARU,Task 5 YEAR,2020-09-01 09:12:35.637,29.37063,-98.49504
165,PROTARU,Task 5 YEAR,2020-09-01 09:12:47.627,29.37063,-98.49504
166,PROTARU,Task 5 YEAR,2020-09-01 09:13:04.630,29.37063,-98.49504
167,PROTARU,Task 5 YEAR,2020-09-01 09:13:15.637,29.37063,-98.49504
168,PROTARU,Task 5 YEAR,2020-09-01 09:13:27.647,29.37063,-98.49504
169,PROTARU,Task 5 YEAR,2020-09-01 09:13:39.627,29.37062,-98.49504
170,PROTARU,Task 5 YEAR,2020-09-01 09:13:55.643,29.37063,-98.49505
171,PROTARU,Task 5 YEAR,2020-09-01 09:14:11.643,29.37062,-98.49505
172,PROTARU,Task 5 YEAR,2020-09-01 09:14:28.633,29.37062,-98.49505
173,PROTARU,Task 5 YEAR,2020-09-01 09:14:40.637,29.37063,-98.49505
174,PROTARU,Task 5 YEAR,2020-09-01 09:14:52.623,29.37064,-98.49506
175,PROTARU,Task 5 YEAR,2020-09-01 09:15:03.657,29.37063,-98.49506
176,PROTARU,Task 5 YEAR,2020-09-01 09:15:15.637,29.37063,-98.49504
177,PROTARU,Task 5 YEAR,2020-09-01 09:15:27.637,29.37062,-98.49504
178,PROTARU,Task 5 YEAR,2020-09-01 09:15:43.637,29.37062,-98.49504
179,PROTARU,Task 5 YEAR,2020-09-01 09:15:54.747,29.37064,-98.49504
180,PROTARU,Task 5 YEAR,2020-09-01 09:16:06.623,29.37064,-98.49504
181,PROTARU,Task 5 YEAR,2020-09-01 09:16:23.643,29.37064,-98.49503
182,PROTARU,Task 5 YEAR,2020-09-01 09:16:35.630,29.37065,-98.49503
183,PROTARU,Task 5 YEAR,2020-09-01 09:16:52.660,29.37065,-98.49505
184,PROTARU,Task 5 YEAR,2020-09-01 09:17:08.640,29.37064,-98.49507
185,PROTARU,Task 5 YEAR,2020-09-01 09:17:19.637,29.37067,-98.49505
186,PROTARU,Task 5 YEAR,2020-09-01 09:17:31.620,29.37067,-98.49505
187,PROTARU,Task 5 YEAR,2020-09-01 09:17:42.647,29.37067,-98.49506
188,PROTARU,Task 5 YEAR,2020-09-01 09:17:55.633,29.37068,-98.49509
189,PROTARU,Task 5 YEAR,2020-09-01 09:18:07.627,29.37067,-98.49507
190,PROTARU,Task 5 YEAR,2020-09-01 09:18:24.630,29.37067,-98.49507
191,PROTARU,Task 5 YEAR,2020-09-01 09:18:35.637,29.37067,-98.49506
192,PROTARU,Task 5 YEAR,2020-09-01 09:18:47.630,29.37065,-98.49519
193,PROTARU,Task 5 YEAR,2020-09-01 09:19:04.623,29.37065,-98.49545
194,PROTARU,Task 5 YEAR,2020-09-01 09:19:15.647,29.37067,-98.49554
195,PROTARU,Task 5 YEAR,2020-09-01 09:19:27.647,29.37058,-98.49554
196,PROTARU,Task 5 YEAR,2020-09-01 09:19:39.633,29.37058,-98.49568
197,PROTARU,Task 5 YEAR,2020-09-01 09:19:51.627,29.37057,-98.49568
198,PROTARU,Task 5 YEAR,2020-09-01 09:20:03.637,29.37057,-98.49559
199,PROTARU,Task 5 YEAR,2020-09-01 09:20:14.647,29.37057,-98.49543
200,PROTARU,Task 5 YEAR,2020-09-01 09:20:31.653,29.37051,-98.49542
201,PROTARU,Task 5 YEAR,2020-09-01 09:20:48.623,29.37051,-98.49546
202,PROTARU,Task 5 YEAR,2020-09-01 09:20:59.650,29.3705,-98.49547
203,PROTARU,Task 5 YEAR,2020-09-01 09:21:16.637,29.3705,-98.49548
204,PROTARU,Task 5 YEAR,2020-09-01 09:21:28.623,29.37051,-98.49547
205,PROTARU,Task 5 YEAR,2020-09-01 09:21:39.643,29.37051,-98.49549
206,PROTARU,Task 5 YEAR,2020-09-01 09:21:51.633,29.37052,-98.49551
207,PROTARU,Task 5 YEAR,2020-09-01 09:22:03.633,29.37052,-98.49546
208,PROTARU,Task 5 YEAR,2020-09-01 09:22:15.630,29.37058,-98.49539
209,PROTARU,Task 5 YEAR,2020-09-01 09:22:32.640,29.37059,-98.4954
210,PROTARU,Task 5 YEAR,2020-09-01 09:22:49.633,29.37058,-98.49529
211,PROTARU,Task 5 YEAR,2020-09-01 09:23:06.630,29.37049,-98.4953
212,PROTARU,Task 5 YEAR,2020-09-01 09:23:18.637,29.37049,-98.4953
213,PROTARU,Task 5 YEAR,2020-09-01 09:23:30.630,29.37049,-98.4953
214,PROTARU,Task 5 YEAR,2020-09-01 09:23:47.630,29.37049,-98.49532
215,PROTARU,Task 5 YEAR,2020-09-01 09:23:53.623,29.37048,-98.49531
216,PROTARU,Task 5 YEAR,2020-09-01 09:24:11.627,29.3705,-98.4953
217,PROTARU,Task 5 YEAR,2020-09-01 09:24:23.607,29.37054,-98.49533
218,PROTARU,Task 5 YEAR,2020-09-01 09:24:34.630,29.37053,-98.49533
219,PROTARU,Task 5 YEAR,2020-09-01 09:24:51.603,29.37052,-98.49529
